        identifier        | nikaya | vagga | book_number  |                       title                       |                  subtitle                  
 thag.05.01.than.html     | KN     | Thag  | 5.1          | Rajadatta                                         | 
 thag.03.13.than.html     | KN     | Thag  | 3.13         | Abhibhuta                                         | 
 thag.16.07.than.html     | KN     | Thag  | 16.7         | Bhaddiya Kaligodhayaputta                         | 
 thag.14.02.than.html     | KN     | Thag  | 14.2         | Godatta                                           | 
 thag.02.27.than.html     | KN     | Thag  | 2.27         | Nandaka                                           | 
 thag.03.14.than.html     | KN     | Thag  | 3.14         | Gotama                                            | 
 thag.17.03.olen.html     | KN     | Thag  | 17.3         | Ananda Thera                                      | Ananda Alone
 thag.16.08.olen.html     | KN     | Thag  | 16.8         | Angulimala Thera                                  | The Moon Released
 thag.05.08.than.html     | KN     | Thag  | 5.8          | Vakkali                                           | 
 thag.21.00.irel.html     | KN     | Thag  | 21           | Vangisa                                           | 
 thag.05.09.norm.html     | KN     | Thag  | 5.9          | Vijitasena                                        | 
 thag.19.00.khan.html     | KN     | Thag  | 19           | Talaputa Thera                                    | Talaputa
 thag.06.06.than.html     | KN     | Thag  | 6.6          | Sappadasa                                         | 
 thag.06.12.than.html     | KN     | Thag  | 6.12         | Brahmadatta                                       | 
 thag.10.05.than.html     | KN     | Thag  | 10.5         | Kappa                                             | 
 thag.02.30.than.html     | KN     | Thag  | 2.30         | Kanhadinna                                        | 
 ud.4.05.than.html        | KN     | Ud    | 4.5          | Nāga Sutta                                        | The Bull Elephant
 thag.02.24.than.html     | KN     | Thag  | 2.24         | Valliya                                           | 
 thag.16.08.than.html     | KN     | Thag  | 16.8         | Angulimala                                        | 
 thag.04.08.than.html     | KN     | Thag  | 4.8          | Rahula                                            | 
 thag.03.08.than.html     | KN     | Thag  | 3.8          | Yasoja                                            | 
 thag.17.03.hekh.html     | KN     | Thag  | 17.3         | Ananda                                            | 
 thag.01.00x.than.html    | KN     | Thag  | 1            | Single Verses                                     | (selected passages)
 thag.03.05.than.html     | KN     | Thag  | 3.5          | Matangaputta                                      | 
 thag.01.00x.hekh.html    | KN     | Thag  | 1.16         | Single Verses                                     | 
